map_version_id,download_url,download_link_name,description,geometry,year
9,https://ies-ows.jrc.ec.europa.eu/iforce/gfc2020/download.py?type=tile&lat=N80&lon=W180,JRC_GFC2020_V1_N80_W180.tif,"The global forest cover map of 2020 in version 1 for (lat, lon) = N80, W180","{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-170,70],[-170,80],[-180,80],[-180,70],[-170,70]]]},""properties"":{}}],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","[2020]"
9,https://ies-ows.jrc.ec.europa.eu/iforce/gfc2020/download.py?type=tile&lat=N80&lon=W170,JRC_GFC2020_V1_N80_W170.tif,"The global forest cover map of 2020 in version 1 for (lat, lon) = N80, W170","{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-160,70],[-160,80],[-170,80],[-170,70],[-160,70]]]},""properties"":{}}],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","[2020]"
9,https://ies-ows.jrc.ec.europa.eu/iforce/gfc2020/download.py?type=tile&lat=N80&lon=W160,JRC_GFC2020_V1_N80_W160.tif,"The global forest cover map of 2020 in version 1 for (lat, lon) = N80, W160","{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-150,70],[-150,80],[-160,80],[-160,70],[-150,70]]]},""properties"":{}}],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","[2020]"
9,https://ies-ows.jrc.ec.europa.eu/iforce/gfc2020/download.py?type=tile&lat=N80&lon=W150,JRC_GFC2020_V1_N80_W150.tif,"The global forest cover map of 2020 in version 1 for (lat, lon) = N80, W150","{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-140,70],[-140,80],[-150,80],[-150,70],[-140,70]]]},""properties"":{}}],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","[2020]"
9,https://ies-ows.jrc.ec.europa.eu/iforce/gfc2020/download.py?type=tile&lat=N80&lon=W140,JRC_GFC2020_V1_N80_W140.tif,"The global forest cover map of 2020 in version 1 for (lat, lon) = N80, W140","{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-130,70],[-130,80],[-140,80],[-140,70],[-130,70]]]},""properties"":{}}],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","[2020]"
9,https://ies-ows.jrc.ec.europa.eu/iforce/gfc2020/download.py?type=tile&lat=N80&lon=W130,JRC_GFC2020_V1_N80_W130.tif,"The global forest cover map of 2020 in version 1 for (lat, lon) = N80, W130","{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120,70],[-120,80],[-130,80],[-130,70],[-120,70]]]},""properties"":{}}],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","[2020]"
9,https://ies-ows.jrc.ec.europa.eu/iforce/gfc2020/download.py?type=tile&lat=N80&lon=W120,JRC_GFC2020_V1_N80_W120.tif,"The global forest cover map of 2020 in version 1 for (lat, lon) = N80, W120","{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-110,70],[-110,80],[-120,80],[-120,70],[-110,70]]]},""properties"":{}}],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","[2020]"
9,https://ies-ows.jrc.ec.europa.eu/iforce/gfc2020/download.py?type=tile&lat=N80&lon=W110,JRC_GFC2020_V1_N80_W110.tif,"The global forest cover map of 2020 in version 1 for (lat, lon) = N80, W110","{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-100,70],[-100,80],[-110,80],[-110,70],[-100,70]]]},""properties"":{}}],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","[2020]"
9,https://ies-ows.jrc.ec.europa.eu/iforce/gfc2020/download.py?type=tile&lat=N80&lon=W100,JRC_GFC2020_V1_N80_W100.tif,"The global forest cover map of 2020 in version 1 for (lat, lon) = N80, W100","{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-90,70],[-90,80],[-100,80],[-100,70],[-90,70]]]},""properties"":{}}],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","[2020]"
9,https://ies-ows.jrc.ec.europa.eu/iforce/gfc2020/download.py?type=tile&lat=N80&lon=W90,JRC_GFC2020_V1_N80_W90.tif,"The global forest cover map of 2020 in version 1 for (lat, lon) = N80, W90","{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-80,70],[-80,80],[-90,80],[-90,70],[-80,70]]]},""properties"":{}}],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","[2020]"
